gene,pValue,fdr,logFoldChange
ENSG00000000003,0.8830130239304063,0.9739989734767273,0.004851384651977842
ENSG00000000005,0.696893943099878,0.9020940764665814,-0.020880187038954105
ENSG00000000419,0.5106261665711832,0.893094114620783,-0.03157493464906245
ENSG00000000457,0.3867045015911108,0.893094114620783,-0.011376295752707162
ENSG00000000460,0.748764189901213,0.924493690640972,-0.021117317461861622
ENSG00000000938,0.4011097393055304,0.893094114620783,0.0749889878175062
ENSG00000000971,0.016498739751220313,0.24742402695059032,0.10212197946764232
ENSG00000001036,0.4410672791723702,0.893094114620783,0.027591709111195628
ENSG00000001084,0.00021895323213080715,0.03112366353780703,0.09552556770633551
ENSG00000001167,0.7097350408624161,0.9075323443328782,-0.025208942387787293
ENSG00000001460,0.09309712205773676,0.5409498303946118,-0.06581814327886502
ENSG00000001461,0.006919356591263413,0.16948514407583348,-0.09033878106580122
ENSG00000001497,0.04745604190260667,0.4030277564520102,-0.052721869382939185
ENSG00000001561,0.019431652342749833,0.2700190023461279,0.1702745970081686
ENSG00000001617,0.10552078691725644,0.5680225623041536,0.11644313825295756
ENSG00000001626,0.37261944027677063,0.893094114620783,0.09018256905012634
ENSG00000001629,1.0,1.0,-0.00026233958721313575
ENSG00000001630,0.6588855976137515,0.893094114620783,-0.04158414496004397
ENSG00000001631,0.24963420779974987,0.8071363322513354,0.04017636227065769
ENSG00000002016,0.10184581757175079,0.5589980277026529,-0.03992545284718796
ENSG00000002330,0.11717949551581684,0.5932177753489303,-0.0520041983119829
ENSG00000002549,0.015002631436813461,0.23566633548661145,0.15221939829469647
ENSG00000002586,0.8017934881886061,0.9464433293914813,-0.004922447798745014
ENSG00000002587,0.27163603379402823,0.8355882109507657,0.10810845504955875
ENSG00000002726,0.1971433268856818,0.7382870292069392,-0.05928064559089593
ENSG00000002745,0.0029873209565222762,0.10959319146857499,-0.1605134111586283
ENSG00000002746,0.9792830364452908,0.9998072776424252,-0.11371576510999772
ENSG00000002822,0.09827346693683402,0.5503999688730705,-0.07975458584722737
ENSG00000002834,0.0745555481381755,0.49367678297109835,0.08697753641337089
ENSG00000002919,0.06778993707104211,0.46964409103787647,0.03992357532905223
ENSG00000002933,0.02082553453578386,0.2754396125072939,0.1847948554163947
ENSG00000003056,0.02229806286714606,0.2861351241497657,0.11003423740557508
ENSG00000003096,0.007480027701157544,0.1740722495886663,-0.166921820760503
ENSG00000003137,0.55033449095956,0.893094114620783,-0.005946058380385543
ENSG00000003147,0.26415914504805493,0.8248789782165385,0.05395464934318242
ENSG00000003249,0.0008605958687075672,0.061773400476517505,-0.21538556285110866
ENSG00000003393,0.6217385671728759,0.893094114620783,0.004345740961359454
ENSG00000003400,0.9516845509972259,0.992812235820995,-0.0017571746613257097
ENSG00000003402,0.795108489071704,0.9464433293914813,-0.0066250714707114505
ENSG00000003436,0.40111871445160496,0.893094114620783,0.04923563246280113
ENSG00000003509,0.2792565739679035,0.8414768393368401,0.05064621356573087
ENSG00000003756,0.6526200446951855,0.893094114620783,0.03988256603253165
ENSG00000003987,0.022815572002900245,0.2861351241497657,0.07007741638120281
ENSG00000003989,0.3679959585928647,0.893094114620783,0.12491115759403663
ENSG00000004059,0.2496161592600844,0.8071363322513354,-0.11559651128144796
ENSG00000004139,0.07889169769342663,0.5018118476376925,-0.05228908713134631
ENSG00000004142,0.7553298521765056,0.9300656250790774,-0.0024584570217281096
ENSG00000004399,0.03251229941249443,0.3388735852823922,0.15369829987941416
ENSG00000004455,1.0,1.0,-0.006227057690140597
ENSG00000004468,0.8761830573619392,0.9739989734767273,0.0021730591421180927
ENSG00000004478,0.7422074636708291,0.924493690640972,0.004268745280404741
ENSG00000004487,0.07456107888120751,0.49367678297109835,0.07321690190897513
ENSG00000004534,0.06521480545294935,0.46168688295550264,-0.06544834359538632
ENSG00000004660,0.027292863440070498,0.31109606640434456,0.10389486869915424
ENSG00000004700,0.17414454029628712,0.7038024219557536,0.07399332030448465
ENSG00000004766,0.646403549318713,0.893094114620783,-0.008984164439484034
ENSG00000004776,0.8557597204883555,0.9662090856994363,-0.027035968924722785
ENSG00000004777,0.36341750981729803,0.893094114620783,-0.02065854104368354
ENSG00000004779,0.795108489071704,0.9464433293914813,0.0068186914506114665
ENSG00000004799,9.468498158259573e-05,0.0214924993534735,0.7487285256854457
ENSG00000004809,0.8557597204883555,0.9662090856994363,0.012312082461320328
ENSG00000004838,0.03394347184926943,0.3467059541080802,-0.07316688222304038
ENSG00000004846,0.31118270509998314,0.8723780264862444,0.05981722941225278
ENSG00000004848,0.8966938798436479,0.979100467451301,0.019340365196279723
ENSG00000004864,0.33664875850601084,0.893094114620783,0.02512353956797167
