Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
RPS4Y1	14.96298249275928	7.068983684337686	0.5767181424210481	3.2077404857554104e-67	4.231009700711385e-64	True
TMSB4Y	0.927145648238022	6.935733818514488	2.448418532280805	8.470081775644381e-14	0.0	False
DDX3Y	18.92950776384465	6.034181864609329	0.3653977753083131	6.921830731031346e-61	6.086596489486897e-58	True
gene_1	0.4820913426375296	5.698825820396741	2.323475223060459	1.7346076735139623e-06	0.0	False
UTY	3.0777785777365247	5.631998195939221	0.7948034397983909	8.496570281831036e-32	0.0	False
ZFY	2.5587215128533565	4.967351349035252	0.7023067676434109	1.251518633667064e-26	0.0	False
HSFY2	0.2595048647199421	4.276477016808737	2.3026398594619217	0.0294879427584119	0.0	False
EIF1AY	3.5790327970401106	2.9914369779913166	0.3310638552792932	3.530559625015233e-20	0.0	False
LINC00278	0.5748486685499589	2.831025006963815	0.8564639722697588	7.403528920282405e-06	0.0	False
KDM5D	5.636867700563744	2.7427905022440666	0.2472841141482294	2.392748581028111e-29	0.0	False
gene_2	1.8953993928999493	2.296837623189839	1.0948622708260929	0.0008091342280711834	0.0	False
USP9Y	4.153649341022278	1.7697919790022043	0.2374436339962393	7.601181617330921e-15	0.0	False
TTTY10	0.4819445294174217	1.5279927364680952	0.8524417383096456	0.0024389059407998	0.0	False
gene_3	1.9843577057661363	1.4591441385170982	0.3366524077963428	9.279096917177208e-07	0.0	False
gene_4	3.449458617727273	1.268572339933635	0.2457474845753816	1.4419623731963121e-08	0.0	False
THBS1	36.24089319409805	0.7834495523504139	0.3208760242984785	0.0004219272318963693	0.037234100622256	True
PDK4	6.565549623104868	0.7757753880248551	0.2291788038277199	2.663534955141524e-05	0.0	False
HLA-DQA2	4.785095636939437	0.5541597458740195	0.2541037530609669	0.0008004624350749887	0.0	False
DSE	9.59352986577687	0.5452067124794746	0.2048436108478299	0.0002422411221242452	0.0275224116503954	True
FKBP5	9.031807451981743	0.4939699124603067	0.2531909699769668	0.0012285005599191	0.0648156895413356	False
MSR1	3.005236972482057	0.4767789360701434	0.3414935900007989	0.0029983851649942	0.0	False
GAB2	13.226145453803772	0.4613183472942787	0.1505496419325518	7.474969080753522e-05	0.0115993931970751	True
IFNGR1	23.22079311905763	0.4557762066396573	0.1180773942605611	4.375784912023103e-06	0.0016490457997024	True
CD86	7.754405688295349	0.4513559060974382	0.170073958619411	0.00025349268719336647	0.0	False
ATP13A3	19.14210951526371	0.4441301544870759	0.1521311220341206	0.00011527757114509194	0.0161118291731482	True
KMT2C	19.15777279209733	0.3942327903462265	0.1528482246381998	0.0002983605262456301	0.0291509284531841	True
SLC7A5	22.50163252849961	0.3810293445535292	0.1934027178674779	0.0011699414132715	0.0629858254736786	False
SKIL	13.96738518750232	0.3749984677758313	0.1650053080793088	0.0006285204588051582	0.0482925335917913	True
GPATCH2L	14.095043013799824	0.3708676297849846	0.1359932530901162	0.0002033895362840281	0.0243882543962393	True
ABHD2	9.441573992016506	0.3648938375619246	0.1714249383518672	0.0008769502271515657	0.0550808261720435	False
CYRIA	11.092818805672186	0.3628019640859711	0.1498893081253501	0.0004516646019379052	0.037234100622256	True
GPRIN3	17.880443135903906	0.3623932308518213	0.1369582343288362	0.0002503934342719833	0.0275224116503954	True
IRAK3	7.790547335934705	0.3554625428265309	0.2162681279557467	0.0020584717234772	0.0	False
