Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000129824	14.962982492759279	7.068983684337686	0.5767181424210481	3.20774048575541e-67	4.231009700711385e-64	TRUE
ENSG00000154620	0.9271456482380221	6.935733818514488	2.448418532280805	8.470081775644381e-14	NA	NA
ENSG00000067048	18.929507763844654	6.034181864609329	0.36539777530831313	6.921830731031346e-61	6.086596489486897e-58	TRUE
ENSG00000278847	0.4820913426375296	5.698825820396741	2.323475223060459	1.7346076735139623e-6	NA	NA
ENSG00000183878	3.0777785777365247	5.631998195939221	0.7948034397983909	8.496570281831036e-32	NA	NA
ENSG00000067646	2.5587215128533565	4.967351349035252	0.7023067676434109	1.251518633667064e-26	NA	NA
ENSG00000169953	0.25950486471994216	4.276477016808737	2.3026398594619217	0.029487942758411902	NA	NA
ENSG00000198692	3.5790327970401106	2.9914369779913166	0.3310638552792932	3.530559625015233e-20	NA	NA
ENSG00000231535	0.5748486685499589	2.831025006963815	0.8564639722697588	7.403528920282405e-6	NA	NA
ENSG00000012817	5.636867700563744	2.7427905022440666	0.24728411414822943	2.392748581028111e-29	NA	NA
ENSG00000285444	1.8953993928999495	2.296837623189839	1.0948622708260927	8.091342280711834e-4	NA	NA
ENSG00000114374	4.153649341022278	1.7697919790022043	0.23744363399623936	7.60118161733092e-15	NA	NA
ENSG00000229236	0.4819445294174217	1.5279927364680952	0.8524417383096456	0.002438905940799859	NA	NA
ENSG00000260197	1.9843577057661363	1.4591441385170982	0.33665240779634287	9.279096917177207e-7	NA	NA
ENSG00000233864	3.4494586177272732	1.268572339933635	0.24574748457538165	1.441962373196312e-8	NA	NA
ENSG00000137801	36.24089319409805	0.7834495523504139	0.32087602429847856	4.2192723189636924e-4	0.03723410062225606	TRUE
ENSG00000004799	6.565549623104868	0.7757753880248551	0.22917880382771996	2.6635349551415236e-5	NA	NA
ENSG00000237541	4.785095636939437	0.5541597458740195	0.25410375306096694	8.004624350749887e-4	NA	NA
ENSG00000111817	9.59352986577687	0.5452067124794746	0.20484361084782995	2.422411221242452e-4	0.027522411650395498	TRUE
